"","logFC","logCPM","PValue","FDR"
"GRMZM2G171468",2.26808060041446,2.65373811877448,2.78000949293432e-08,2.73942657676791e-06
"GRMZM2G031568",1.46336436999518,9.00783417600405,2.78772264897605e-08,2.73942657676791e-06
"GRMZM5G829840",1.1692466303276,8.08434710183444,2.80564281348147e-08,2.74499682253504e-06
"GRMZM2G410352",2.23343886615425,2.57722645041416,2.84737766478905e-08,2.77371724259125e-06
"GRMZM2G046900",1.80295166143474,3.7381793448256,2.92275637610354e-08,2.83482063232034e-06
"GRMZM2G054663",2.26312798443449,2.87716030203927,3.14121995647221e-08,3.03357901399827e-06
"GRMZM2G338809",-3.38346391573001,2.13542482859755,3.15872173952212e-08,3.03738886583662e-06
"GRMZM2G140299",-1.36733468490082,3.10638543071549,3.22782004884987e-08,3.09056872625989e-06
"GRMZM2G444692",1.02656577520531,6.29392059446374,3.25777117539629e-08,3.10597290147889e-06
"GRMZM2G035790",1.9624584034363,5.37171616936279,3.43116340144318e-08,3.25742440717519e-06
"GRMZM2G054811",0.943290870134343,6.06961915906562,3.46178249750859e-08,3.27262602770801e-06
"GRMZM2G031983",-1.60845583438344,3.72440471013659,3.5126285529788e-08,3.30674129115504e-06
"GRMZM2G085381",3.65530324238824,5.59669041950971,3.63721672762899e-08,3.40970045115178e-06
"GRMZM2G064406",2.87442126410955,5.91610136479953,3.80129778085101e-08,3.54866986583196e-06
"GRMZM2G416667",-1.3097451835147,5.63888508476393,3.88326031344341e-08,3.61014304243567e-06
"GRMZM2G057616",1.32566377966109,6.04011097735901,4.00769533668653e-08,3.71043033134139e-06
"GRMZM2G117608",-1.66876330705324,8.80565235619608,4.07629772934176e-08,3.75807400862165e-06
"GRMZM2G093032",-1.82240946083335,5.93279683259181,4.09270278109209e-08,3.75807400862165e-06
"GRMZM2G044495",-1.48199643192051,3.18386927686691,4.3491598622493e-08,3.96779799104003e-06
"GRMZM2G047592",1.46155666283716,8.15463729531048,4.35651999908881e-08,3.96779799104003e-06
"GRMZM2G125023",1.78881841866223,2.755103731181,4.43996677292092e-08,4.02742735009284e-06
"GRMZM5G830874",0.892026886474719,6.92428273452518,4.59513728216843e-08,4.15137301641063e-06
"GRMZM2G162768",2.07747320771998,2.01619737102295,4.96118997118861e-08,4.46407475118397e-06
"GRMZM2G069694",1.64374797318875,4.82937862086043,5.04893368355192e-08,4.52485436719923e-06
"GRMZM2G090528",4.08768611053296,1.49527159942307,5.10733141517971e-08,4.55895459590045e-06
"GRMZM2G424873",1.65548106596187,5.38660214362081,5.50466625099336e-08,4.89412886323438e-06
"GRMZM2G113033",1.05677271941701,11.9043277919523,5.70465394984791e-08,5.05188821131788e-06
"GRMZM2G568912",4.03623227390071,0.684467156674465,5.88984779770289e-08,5.19535590187139e-06
"GRMZM2G173943",0.984204329328962,6.53342078452199,6.01182997988508e-08,5.28215885095393e-06
"GRMZM2G168898",2.34381290348889,6.50324739755554,6.15525465545108e-08,5.38705002169459e-06
"GRMZM2G010202",-1.25213643708077,4.36264481858067,6.20884952175523e-08,5.41281219980257e-06
"GRMZM2G083655",2.55400748258464,4.36348431724206,6.29134873557783e-08,5.46347552017912e-06
"GRMZM2G062429",1.54357843589163,3.64495605648059,6.34071111835243e-08,5.4850823400265e-06
"GRMZM2G075153",0.877534595497943,7.18285729193494,6.39424606832179e-08,5.51011858310575e-06
"AC205012.3_FG002",2.68198923791187,1.89570982759579,6.75596250720188e-08,5.79951494152713e-06
"GRMZM2G160922",1.53901781174356,3.40824411418561,6.96264418259749e-08,5.9541237752327e-06
"GRMZM2G000039",-1.31586282268626,6.13401190825539,7.28812523601172e-08,6.20722764467663e-06
"GRMZM2G000353",-1.71358433607295,3.54750724080628,7.31402855699455e-08,6.20722764467663e-06
"GRMZM2G108273",-1.86760545608665,6.33028387432069,7.60284250035597e-08,6.42798815926322e-06
"GRMZM2G366607",2.37495781723963,4.24212825570728,8.04929183714451e-08,6.77986404553469e-06
"GRMZM2G074053",1.20696740144402,7.82201310425773,8.15337658267986e-08,6.84181282153342e-06
"GRMZM2G075117",-1.14129515294351,4.43149495019688,8.3313726755338e-08,6.96508973116921e-06
"GRMZM2G138589",-1.80386467254961,6.1563944065357,8.85334088666578e-08,7.37394433329914e-06
"GRMZM2G093286",3.01339916030743,3.19790518040326,9.27150264215407e-08,7.69363024805414e-06
"GRMZM2G153274",1.18077545288902,5.64707924749962,1.00000705842061e-07,8.26758603096449e-06
"GRMZM5G852776",-1.24103957918782,4.5379450676454,1.05427014436511e-07,8.68416271488979e-06
"GRMZM2G082185",0.980386537073079,7.37755332967917,1.11375399831821e-07,9.11221168799819e-06
"GRMZM2G108597",-2.74243177245611,4.00176705381251,1.11727388034928e-07,9.11221168799819e-06
