,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G310155,0.080690221,4.418282602,0.641223383,0.844250449,,,,,,,,,,,,,,,,,,,
GRMZM2G447433,-0.100295605,7.34808981,0.641335858,0.844299881,,,,,,,,,,,,,,,,,,,
GRMZM2G141535,0.166830918,3.098290593,0.641336295,0.844299881,,,,,,,,,,,,,,,,,,,
GRMZM2G170047,0.218937353,2.473471548,0.641479395,0.844438651,,,,,,,,,,,,,,,,,,,
GRMZM2G026391,-0.114502736,6.8308532,0.641559258,0.844458317,,,,,,,,,,,,,,,,,,,
GRMZM2G090736,0.184673312,2.239662456,0.641628279,0.844458317,,,,,,,,,,,,,,,,,,,
GRMZM2G063975,0.331672009,1.717671865,0.641687906,0.844458317,,,,,,,,,,,,,,,,,,,
GRMZM2G164308,-0.238098659,0.949220545,0.641694401,0.844458317,,,,,,,,,,,,,,,,,,,
GRMZM2G094955,0.409384506,1.977765876,0.641704765,0.844458317,,,,,,,,,,,,,,,,,,,
GRMZM2G135366,-0.17740148,1.223822094,0.641720478,0.844458317,,,,,,,,,,,,,,,,,,,
GRMZM2G071253,0.191862959,2.006400615,0.641767957,0.844471198,,,,,,,,,,,,,,,,,,,
GRMZM2G005849,0.103452994,4.788590363,0.641854964,0.844496587,,,,,,,,,,,,,,,,,,,
GRMZM2G021598,-0.116768157,6.62548981,0.641898105,0.844496587,,,,,,,,,,,,,,,,,,,
GRMZM2G457201,-0.089476631,4.931161074,0.641912382,0.844496587,,,,,,,,,,,,,,,,,,,
GRMZM2G451604,-0.161693403,3.447868438,0.641938022,0.844496587,,,,,,,,,,,,,,,,,,,
GRMZM2G046355,0.07037024,5.31584262,0.642071351,0.844622395,,,,,,,,,,,,,,,,,,,
GRMZM2G381453,0.119973232,2.86689222,0.642160726,0.84469037,,,,,,,,,,,,,,,,,,,
GRMZM2G140394,-0.080735565,5.034102651,0.642229585,0.844703594,,,,,,,,,,,,,,,,,,,
GRMZM2G085849,0.081670639,4.194548172,0.642246183,0.844703594,,,,,,,,,,,,,,,,,,,
GRMZM2G093908,0.17423781,2.080722543,0.642355057,0.844797197,,,,,,,,,,,,,,,,,,,
GRMZM2G000790,0.49867228,2.16492043,0.642393341,0.844797957,,,,,,,,,,,,,,,,,,,
GRMZM5G842683,-0.352142199,2.524543745,0.642497468,0.84485904,,,,,,,,,,,,,,,,,,,
GRMZM2G051050,-0.11668288,3.235794776,0.64254104,0.84485904,,,,,,,,,,,,,,,,,,,
GRMZM2G166985,-0.081396143,4.918246973,0.642567688,0.84485904,,,,,,,,,,,,,,,,,,,
GRMZM2G123204,0.080924919,6.047707479,0.642623073,0.84485904,,,,,,,,,,,,,,,,,,,
GRMZM2G467435,-0.127346021,3.94311519,0.642628331,0.84485904,,,,,,,,,,,,,,,,,,,
GRMZM2G030097,0.124834833,4.501824739,0.642707539,0.844913596,,,,,,,,,,,,,,,,,,,
GRMZM5G865112,-0.180014179,3.506598532,0.642751585,0.844921923,,,,,,,,,,,,,,,,,,,
GRMZM2G020366,0.087462886,4.287325891,0.642857129,0.845011086,,,,,,,,,,,,,,,,,,,
GRMZM2G008687,0.084945283,6.014286322,0.642905626,0.845025258,,,,,,,,,,,,,,,,,,,
GRMZM2G110924,-0.598184443,2.188290043,0.642973831,0.845034094,,,,,,,,,,,,,,,,,,,
GRMZM2G081812,-0.068297669,6.355425914,0.642987781,0.845034094,,,,,,,,,,,,,,,,,,,
GRMZM2G057779,0.186932202,2.277304294,0.643072992,0.845047928,,,,,,,,,,,,,,,,,,,
GRMZM2G065970,0.166064472,2.451530498,0.643095797,0.845047928,,,,,,,,,,,,,,,,,,,
GRMZM2G168690,0.08223436,4.52948429,0.643111458,0.845047928,,,,,,,,,,,,,,,,,,,
GRMZM2G167220,0.260429388,1.414602126,0.643178948,0.845059668,,,,,,,,,,,,,,,,,,,
GRMZM2G167019,-0.408734471,0.537601608,0.643195827,0.845059668,,,,,,,,,,,,,,,,,,,
GRMZM5G839592,-0.098202232,3.878655915,0.643551391,0.845477243,,,,,,,,,,,,,,,,,,,
GRMZM2G085089,-0.314629015,0.699627447,0.643604799,0.845497832,,,,,,,,,,,,,,,,,,,
GRMZM2G076738,0.087908098,4.996605705,0.643803136,0.845572172,,,,,,,,,,,,,,,,,,,
GRMZM2G331811,-0.138776869,3.635020506,0.643821936,0.845572172,,,,,,,,,,,,,,,,,,,
GRMZM2G085254,0.065380025,5.995563119,0.643825882,0.845572172,,,,,,,,,,,,,,,,,,,
GRMZM2G097959,0.073111425,6.734538586,0.643879697,0.845572172,,,,,,,,,,,,,,,,,,,
GRMZM2G114337,-0.247943569,0.99633119,0.643881623,0.845572172,,,,,,,,,,,,,,,,,,,
GRMZM2G325019,-0.094817451,5.393968527,0.64388783,0.845572172,,,,,,,,,,,,,,,,,,,
GRMZM2G037650,-0.228178793,3.503428524,0.643990489,0.845618329,,,,,,,,,,,,,,,,,,,
GRMZM2G150323,-0.090305255,4.699686326,0.644009233,0.845618329,,,,,,,,,,,,,,,,,,,
GRMZM5G895991,0.143341749,2.439954295,0.644036205,0.845618329,,,,,,,,,,,,,,,,,,,
GRMZM2G167966,0.294162773,0.968561702,0.644144563,0.845711042,,,,,,,,,,,,,,,,,,,
GRMZM2G439596,0.193071388,1.527955758,0.644226659,0.845769266,,,,,,,,,,,,,,,,,,,
GRMZM2G180205,-0.269904807,2.196355578,0.644269603,0.845776085,,,,,,,,,,,,,,,,,,,
GRMZM5G826216,-0.179203772,2.001524294,0.64433121,0.845803274,,,,,,,,,,,,,,,,,,,
GRMZM2G026417,0.135365036,2.970820407,0.644390524,0.845803274,,,,,,,,,,,,,,,,,,,
GRMZM2G006752,0.112546347,4.493015074,0.644403565,0.845803274,,,,,,,,,,,,,,,,,,,
GRMZM2G458494,-0.172777417,2.189508392,0.644538649,0.845931019,,,,,,,,,,,,,,,,,,,
GRMZM5G809858,-0.129745007,3.102292672,0.644627958,0.845972661,,,,,,,,,,,,,,,,,,,
GRMZM2G000603,-0.234249837,1.812153608,0.644678057,0.845972661,,,,,,,,,,,,,,,,,,,
GRMZM2G403797,-0.117140902,5.033143668,0.644683652,0.845972661,,,,,,,,,,,,,,,,,,,
GRMZM2G175463,0.087280626,4.350121818,0.644834944,0.846121636,,,,,,,,,,,,,,,,,,,
GRMZM2G056400,-0.114015085,3.368332773,0.645190749,0.846477963,,,,,,,,,,,,,,,,,,,
GRMZM2G178968,-0.105864405,5.820107517,0.645204641,0.846477963,,,,,,,,,,,,,,,,,,,
GRMZM2G365515,-0.120479771,4.377176872,0.645219846,0.846477963,,,,,,,,,,,,,,,,,,,
GRMZM2G061980,0.077909721,4.612477195,0.645282937,0.846511166,,,,,,,,,,,,,,,,,,,
GRMZM2G150912,-0.120802331,3.762507747,0.645389006,0.846569463,,,,,,,,,,,,,,,,,,,
GRMZM5G831780,0.117401485,3.814975913,0.645402946,0.846569463,,,,,,,,,,,,,,,,,,,
GRMZM2G314679,-0.127731343,3.443311336,0.645474882,0.846614257,,,,,,,,,,,,,,,,,,,
GRMZM2G099363,0.131773696,5.142648545,0.645802094,0.846985888,,,,,,,,,,,,,,,,,,,
GRMZM5G897958,-0.136042814,3.65676239,0.645872791,0.846985888,,,,,,,,,,,,,,,,,,,
AC204277.3_FG006,-0.137702364,3.755193169,0.645927296,0.846985888,,,,,,,,,,,,,,,,,,,
GRMZM2G458533,-0.200025141,1.511208632,0.645960179,0.846985888,,,,,,,,,,,,,,,,,,,
GRMZM2G081406,0.108163672,5.147217907,0.645975377,0.846985888,,,,,,,,,,,,,,,,,,,
GRMZM2G050714,-0.085887925,5.21649765,0.645985042,0.846985888,,,,,,,,,,,,,,,,,,,
GRMZM2G305332,-0.186740251,2.796155549,0.646049465,0.84702079,,,,,,,,,,,,,,,,,,,
GRMZM2G444621,-0.193867033,1.840644501,0.646153889,0.847108126,,,,,,,,,,,,,,,,,,,
GRMZM2G052670,0.108650285,4.929564577,0.646360677,0.847304533,,,,,,,,,,,,,,,,,,,
GRMZM2G015100,-0.124263106,2.98570801,0.646397131,0.847304533,,,,,,,,,,,,,,,,,,,
GRMZM2G172101,-0.10045172,4.790782558,0.646417156,0.847304533,,,,,,,,,,,,,,,,,,,
GRMZM2G535811,0.119792642,2.648750454,0.646485471,0.847344506,,,,,,,,,,,,,,,,,,,
GRMZM2G138338,0.236915318,1.164255238,0.646553251,0.847383772,,,,,,,,,,,,,,,,,,,
GRMZM2G432624,-0.197977476,1.482306181,0.646612682,0.847412093,,,,,,,,,,,,,,,,,,,
GRMZM2G085604,0.195628902,1.328350846,0.646671469,0.847439566,,,,,,,,,,,,,,,,,,,
GRMZM2G147880,-0.186150186,2.034699668,0.646855645,0.847631344,,,,,,,,,,,,,,,,,,,
GRMZM2G056916,0.092862042,4.557623093,0.64691224,0.84765593,,,,,,,,,,,,,,,,,,,
GRMZM2G069316,0.097932608,4.51210547,0.64697919,0.847686066,,,,,,,,,,,,,,,,,,,
GRMZM2G369047,-0.127599053,3.363075893,0.647046472,0.847686066,,,,,,,,,,,,,,,,,,,
GRMZM2G472827,0.341991779,1.404922079,0.647048743,0.847686066,,,,,,,,,,,,,,,,,,,
GRMZM2G004997,0.070897763,6.354888102,0.647526052,0.848225585,,,,,,,,,,,,,,,,,,,
GRMZM2G086069,0.08098441,6.53499958,0.647536283,0.848225585,,,,,,,,,,,,,,,,,,,
GRMZM2G168674,0.120395039,4.653772357,0.647635165,0.848287512,,,,,,,,,,,,,,,,,,,
GRMZM2G024073,-0.074476545,5.694053183,0.647659281,0.848287512,,,,,,,,,,,,,,,,,,,
GRMZM2G029722,0.42636709,2.866952182,0.64812569,0.848848781,,,,,,,,,,,,,,,,,,,
GRMZM5G879178,0.185814701,3.599553785,0.648235794,0.848906001,,,,,,,,,,,,,,,,,,,
GRMZM2G158162,-0.082279744,6.49673397,0.648245159,0.848906001,,,,,,,,,,,,,,,,,,,
GRMZM2G158775,0.325030567,1.490982103,0.648289387,0.848914303,,,,,,,,,,,,,,,,,,,
GRMZM2G075796,0.157084155,3.605231575,0.648628378,0.849308562,,,,,,,,,,,,,,,,,,,
GRMZM2G171569,0.111671121,5.044313149,0.648767511,0.849416539,,,,,,,,,,,,,,,,,,,
GRMZM2G534175,0.253937851,0.742068748,0.648792668,0.849416539,,,,,,,,,,,,,,,,,,,
GRMZM2G143332,-0.38685345,2.495114762,0.648824577,0.849416539,,,,,,,,,,,,,,,,,,,
GRMZM2G132653,0.0769946,4.726092925,0.649032632,0.84960327,,,,,,,,,,,,,,,,,,,
GRMZM2G423383,-0.564330598,1.057189617,0.649043052,0.84960327,,,,,,,,,,,,,,,,,,,
GRMZM2G328168,0.156447371,2.740904514,0.649095783,0.849622657,,,,,,,,,,,,,,,,,,,
AC208327.4_FG006,0.077432495,4.58382181,0.649233933,0.849710488,,,,,,,,,,,,,,,,,,,
GRMZM2G412674,-0.151592643,2.438675319,0.649238734,0.849710488,,,,,,,,,,,,,,,,,,,
GRMZM2G008683,0.176441124,2.030239657,0.649514538,0.849959542,,,,,,,,,,,,,,,,,,,
GRMZM2G172357,-0.112783255,4.750641133,0.649572331,0.849959542,,,,,,,,,,,,,,,,,,,
GRMZM2G159221,-0.157789554,2.364271797,0.649572846,0.849959542,,,,,,,,,,,,,,,,,,,
GRMZM2G081826,0.152115069,6.753478345,0.649580774,0.849959542,,,,,,,,,,,,,,,,,,,
GRMZM2G145816,-0.160354575,2.94095311,0.649625441,0.849968349,,,,,,,,,,,,,,,,,,,
GRMZM2G164072,-0.139953217,2.898812335,0.649798655,0.850145335,,,,,,,,,,,,,,,,,,,
GRMZM2G104538,0.127627451,3.798655202,0.649847531,0.850159637,,,,,,,,,,,,,,,,,,,
GRMZM2G173251,0.150119036,1.86092166,0.650098605,0.850376818,,,,,,,,,,,,,,,,,,,
GRMZM2G010892,-0.196304433,5.209493317,0.65014779,0.850376818,,,,,,,,,,,,,,,,,,,
GRMZM2G106483,-0.626081203,0.946065246,0.650171621,0.850376818,,,,,,,,,,,,,,,,,,,
GRMZM2G104836,-0.172071881,2.573089493,0.650184314,0.850376818,,,,,,,,,,,,,,,,,,,
GRMZM2G149219,-0.337007381,0.454740669,0.650231918,0.850376818,,,,,,,,,,,,,,,,,,,
GRMZM2G030695,0.187044366,3.342236948,0.65024127,0.850376818,,,,,,,,,,,,,,,,,,,
GRMZM2G069025,0.205074413,1.150460262,0.650430965,0.85049567,,,,,,,,,,,,,,,,,,,
GRMZM2G142179,-0.28562276,0.835163827,0.650436485,0.85049567,,,,,,,,,,,,,,,,,,,
GRMZM2G042006,0.15757358,2.119957494,0.65044603,0.85049567,,,,,,,,,,,,,,,,,,,
GRMZM2G133629,-0.159178119,3.403736017,0.650532061,0.850558521,,,,,,,,,,,,,,,,,,,
AC225363.3_FG004,0.245862556,2.818935355,0.650712143,0.850744329,,,,,,,,,,,,,,,,,,,
GRMZM2G093849,0.102211149,4.283352675,0.650849518,0.850854044,,,,,,,,,,,,,,,,,,,
GRMZM2G076399,0.14572942,3.669326812,0.650910656,0.850854044,,,,,,,,,,,,,,,,,,,
GRMZM2G161493,0.109380063,3.766720648,0.650912712,0.850854044,,,,,,,,,,,,,,,,,,,
GRMZM2G161521,0.398750425,2.511014066,0.650947965,0.850854044,,,,,,,,,,,,,,,,,,,
GRMZM2G148176,-0.184760667,3.850816373,0.651062897,0.850898293,,,,,,,,,,,,,,,,,,,
GRMZM2G373420,0.084886147,6.82335118,0.6510649,0.850898293,,,,,,,,,,,,,,,,,,,
GRMZM2G039017,0.643455425,1.031299644,0.651097109,0.850898293,,,,,,,,,,,,,,,,,,,
GRMZM2G092759,-0.23168881,1.00838097,0.651167291,0.850898293,,,,,,,,,,,,,,,,,,,
GRMZM2G131167,0.159507265,1.783714172,0.651171708,0.850898293,,,,,,,,,,,,,,,,,,,
GRMZM2G038801,0.199831046,2.759727549,0.65135425,0.851057655,,,,,,,,,,,,,,,,,,,
GRMZM2G090824,0.119501381,4.157049181,0.651394475,0.851057655,,,,,,,,,,,,,,,,,,,
GRMZM2G102714,-0.096029713,6.010963158,0.65140762,0.851057655,,,,,,,,,,,,,,,,,,,
GRMZM2G169227,0.170728306,1.589945255,0.651479225,0.851101576,,,,,,,,,,,,,,,,,,,
GRMZM2G163398,-0.11364186,3.434829286,0.651691056,0.851168525,,,,,,,,,,,,,,,,,,,
GRMZM2G044997,-0.244792915,1.959236332,0.651747573,0.851168525,,,,,,,,,,,,,,,,,,,
GRMZM2G701206,-0.225383099,1.650226613,0.651760177,0.851168525,,,,,,,,,,,,,,,,,,,
GRMZM2G026447,0.146958615,2.823818237,0.651768714,0.851168525,,,,,,,,,,,,,,,,,,,
GRMZM2G111603,0.275550334,2.499107625,0.651770102,0.851168525,,,,,,,,,,,,,,,,,,,
GRMZM5G814310,-0.074438689,5.349774917,0.651788016,0.851168525,,,,,,,,,,,,,,,,,,,
GRMZM2G011031,0.168156592,2.761609348,0.651796402,0.851168525,,,,,,,,,,,,,,,,,,,
GRMZM2G049229,-0.132903146,3.560985515,0.651914246,0.851231486,,,,,,,,,,,,,,,,,,,
GRMZM2G431018,-0.273559034,0.929784912,0.651920601,0.851231486,,,,,,,,,,,,,,,,,,,
GRMZM2G168855,0.117922051,3.667794039,0.651959176,0.851232246,,,,,,,,,,,,,,,,,,,
GRMZM2G126665,-0.078061516,4.778682662,0.652091961,0.851356004,,,,,,,,,,,,,,,,,,,
GRMZM2G123896,0.128956397,8.999629499,0.652320958,0.851559749,,,,,,,,,,,,,,,,,,,
GRMZM2G480516,-0.15491855,3.813998633,0.652324034,0.851559749,,,,,,,,,,,,,,,,,,,
GRMZM2G060811,-0.429453391,0.23612955,0.652473474,0.851705208,,,,,,,,,,,,,,,,,,,
GRMZM2G006948,0.103880605,3.649320026,0.652630139,0.85186008,,,,,,,,,,,,,,,,,,,
GRMZM5G868757,0.069804344,4.754140841,0.652698405,0.851899555,,,,,,,,,,,,,,,,,,,
GRMZM2G164175,-0.132067476,3.325250849,0.652746519,0.851905986,,,,,,,,,,,,,,,,,,,
GRMZM2G344848,-0.165577954,2.784200056,0.652788523,0.851905986,,,,,,,,,,,,,,,,,,,
GRMZM2G058498,-0.077010888,4.746749828,0.652844023,0.851905986,,,,,,,,,,,,,,,,,,,
GRMZM2G035338,0.109456644,3.401375956,0.652855597,0.851905986,,,,,,,,,,,,,,,,,,,
GRMZM2G133631,-0.086093724,4.684674559,0.652903244,0.851905986,,,,,,,,,,,,,,,,,,,
GRMZM2G118014,0.101137398,4.812456278,0.65293147,0.851905986,,,,,,,,,,,,,,,,,,,
GRMZM5G895554,0.118188751,4.588647473,0.653002567,0.851919957,,,,,,,,,,,,,,,,,,,
GRMZM2G142779,0.182561372,3.321416222,0.653018226,0.851919957,,,,,,,,,,,,,,,,,,,
GRMZM5G828302,0.08613517,5.824040031,0.653090337,0.851964426,,,,,,,,,,,,,,,,,,,
GRMZM2G465553,0.07159037,5.265129614,0.653227055,0.852093162,,,,,,,,,,,,,,,,,,,
GRMZM2G096424,0.085401432,4.863754752,0.653268663,0.852097828,,,,,,,,,,,,,,,,,,,
GRMZM2G018951,-0.329470475,1.928475619,0.653555225,0.852379903,,,,,,,,,,,,,,,,,,,
GRMZM2G129157,0.374484141,1.792270614,0.653561006,0.852379903,,,,,,,,,,,,,,,,,,,
GRMZM2G036596,-0.099348203,4.295889856,0.653760176,0.852558582,,,,,,,,,,,,,,,,,,,
GRMZM2G068715,0.097119118,7.036694491,0.653849046,0.852558582,,,,,,,,,,,,,,,,,,,
GRMZM2G025817,0.497048221,0.495867414,0.653857562,0.852558582,,,,,,,,,,,,,,,,,,,
GRMZM2G087924,-0.098827989,4.499721181,0.653867127,0.852558582,,,,,,,,,,,,,,,,,,,
GRMZM2G389948,-0.342782565,4.892381416,0.653888269,0.852558582,,,,,,,,,,,,,,,,,,,
AC198497.3_FG003,0.60328907,1.058818816,0.654025405,0.852643828,,,,,,,,,,,,,,,,,,,
GRMZM2G077208,-0.091621656,5.92877035,0.654029762,0.852643828,,,,,,,,,,,,,,,,,,,
GRMZM2G034005,0.073148351,5.769515701,0.65411175,0.852651853,,,,,,,,,,,,,,,,,,,
GRMZM5G857379,0.229772591,1.938086276,0.654112031,0.852651853,,,,,,,,,,,,,,,,,,,
GRMZM2G063216,-0.190546734,1.609056005,0.654218296,0.85274076,,,,,,,,,,,,,,,,,,,
GRMZM2G010238,0.110410829,3.462108954,0.654272718,0.852762086,,,,,,,,,,,,,,,,,,,
GRMZM5G866861,-0.079625764,5.064566394,0.654314032,0.852766325,,,,,,,,,,,,,,,,,,,
GRMZM2G133646,-0.099227491,4.59864571,0.654420177,0.852772533,,,,,,,,,,,,,,,,,,,
GRMZM2G035356,0.118231097,3.762067437,0.654443676,0.852772533,,,,,,,,,,,,,,,,,,,
GRMZM5G894156,0.079672667,4.871450128,0.654448682,0.852772533,,,,,,,,,,,,,,,,,,,
GRMZM2G159041,0.110126668,3.428614364,0.654471043,0.852772533,,,,,,,,,,,,,,,,,,,
GRMZM2G464895,0.474734118,0.331078911,0.654571776,0.852854189,,,,,,,,,,,,,,,,,,,
GRMZM2G146416,0.077944245,5.022194372,0.654804446,0.852938168,,,,,,,,,,,,,,,,,,,
GRMZM2G039961,-0.177893614,2.668528083,0.654810373,0.852938168,,,,,,,,,,,,,,,,,,,
GRMZM2G151706,-0.183303455,2.197924439,0.654827891,0.852938168,,,,,,,,,,,,,,,,,,,
GRMZM2G335407,0.151354401,2.502166865,0.654837844,0.852938168,,,,,,,,,,,,,,,,,,,
GRMZM2G139341,-0.088813134,5.895892018,0.654848973,0.852938168,,,,,,,,,,,,,,,,,,,
GRMZM2G071113,-0.146586281,2.301581527,0.654864645,0.852938168,,,,,,,,,,,,,,,,,,,
GRMZM5G835530,-0.085313589,4.311214029,0.654952341,0.85295476,,,,,,,,,,,,,,,,,,,
GRMZM2G334857,0.230863633,1.27990193,0.654953523,0.85295476,,,,,,,,,,,,,,,,,,,
GRMZM5G852877,-0.120333656,2.871641927,0.65506558,0.852966229,,,,,,,,,,,,,,,,,,,
GRMZM2G157574,0.142175538,1.621987011,0.655066776,0.852966229,,,,,,,,,,,,,,,,,,,
GRMZM2G083150,0.140694931,3.048653781,0.655115232,0.852966229,,,,,,,,,,,,,,,,,,,
GRMZM2G090480,0.132252598,3.980596714,0.655119034,0.852966229,,,,,,,,,,,,,,,,,,,
GRMZM2G430387,-0.220726211,0.742265326,0.655152682,0.852966229,,,,,,,,,,,,,,,,,,,
GRMZM2G115077,0.23570068,2.550814598,0.655352817,0.853168727,,,,,,,,,,,,,,,,,,,
GRMZM2G023833,-0.082733272,4.584093993,0.655408127,0.853168727,,,,,,,,,,,,,,,,,,,
GRMZM2G122296,0.144024,3.009686683,0.655422456,0.853168727,,,,,,,,,,,,,,,,,,,
GRMZM2G103721,0.077393792,6.650854825,0.655541517,0.853274135,,,,,,,,,,,,,,,,,,,
GRMZM2G338696,0.192023057,4.54947773,0.655593356,0.853274531,,,,,,,,,,,,,,,,,,,
GRMZM2G128485,-0.094107984,4.439639698,0.655617989,0.853274531,,,,,,,,,,,,,,,,,,,
GRMZM2G082725,-0.440392302,1.525572334,0.65567398,0.853297835,,,,,,,,,,,,,,,,,,,
GRMZM2G345512,0.207807254,2.578464775,0.655904375,0.853548093,,,,,,,,,,,,,,,,,,,
GRMZM2G440009,-0.119410489,3.877213188,0.655981046,0.853598288,,,,,,,,,,,,,,,,,,,
GRMZM5G862131,-0.089544336,4.514869968,0.65604851,0.853636498,,,,,,,,,,,,,,,,,,,
GRMZM5G854499,-0.101970302,4.901137401,0.656091387,0.853642714,,,,,,,,,,,,,,,,,,,
GRMZM2G152535,0.26075428,0.977472286,0.656174073,0.853700721,,,,,,,,,,,,,,,,,,,
GRMZM2G101438,0.080707529,6.250968159,0.65626235,0.853746018,,,,,,,,,,,,,,,,,,,
GRMZM2G072913,0.258169475,1.788345453,0.6562851,0.853746018,,,,,,,,,,,,,,,,,,,
GRMZM2G106703,0.119427987,2.723490908,0.656383719,0.853824734,,,,,,,,,,,,,,,,,,,
GRMZM2G060918,0.291247171,0.476239402,0.656577002,0.853904382,,,,,,,,,,,,,,,,,,,
GRMZM2G020201,0.161316191,1.789081859,0.656580181,0.853904382,,,,,,,,,,,,,,,,,,,
GRMZM2G136887,-0.11475484,3.163477592,0.656580861,0.853904382,,,,,,,,,,,,,,,,,,,
GRMZM2G456132,-0.139586452,2.885470519,0.656597397,0.853904382,,,,,,,,,,,,,,,,,,,
GRMZM2G050583,0.127894453,3.443889973,0.656638207,0.85390789,,,,,,,,,,,,,,,,,,,
GRMZM2G162535,0.130015985,5.566616674,0.65704081,0.854381854,,,,,,,,,,,,,,,,,,,
GRMZM2G004352,-0.104772205,8.271778946,0.657113436,0.854426704,,,,,,,,,,,,,,,,,,,
GRMZM2G159828,0.13126405,2.682631421,0.65722855,0.85447322,,,,,,,,,,,,,,,,,,,
GRMZM5G879116,-0.30568471,0.523418823,0.657246617,0.85447322,,,,,,,,,,,,,,,,,,,
GRMZM2G037398,0.222059502,0.47528663,0.657278172,0.85447322,,,,,,,,,,,,,,,,,,,
GRMZM2G098460,-0.14176467,5.976470446,0.65730176,0.85447322,,,,,,,,,,,,,,,,,,,
GRMZM2G080542,0.175105884,2.792719688,0.657385739,0.854487769,,,,,,,,,,,,,,,,,,,
GRMZM2G171662,-0.221241559,1.973019012,0.657389229,0.854487769,,,,,,,,,,,,,,,,,,,
GRMZM2G370777,0.067036934,7.113447387,0.657467979,0.854540554,,,,,,,,,,,,,,,,,,,
GRMZM2G330035,-0.324611011,1.078132887,0.657516713,0.854554322,,,,,,,,,,,,,,,,,,,
GRMZM5G873635,0.184453202,2.749432593,0.657648758,0.854667351,,,,,,,,,,,,,,,,,,,
GRMZM2G338693,0.157703405,4.62205765,0.657761637,0.854667351,,,,,,,,,,,,,,,,,,,
GRMZM2G016503,-0.100834768,4.877333059,0.657780126,0.854667351,,,,,,,,,,,,,,,,,,,
GRMZM5G833185,-0.162527872,5.25167863,0.657790392,0.854667351,,,,,,,,,,,,,,,,,,,
AC225566.2_FG009,0.568611157,0.251247784,0.657794412,0.854667351,,,,,,,,,,,,,,,,,,,
GRMZM2G050641,0.213549348,1.875149164,0.657905547,0.854713225,,,,,,,,,,,,,,,,,,,
GRMZM2G075794,0.268429345,0.769243827,0.657906016,0.854713225,,,,,,,,,,,,,,,,,,,
GRMZM2G168252,-0.137701901,3.053361137,0.658011107,0.854800189,,,,,,,,,,,,,,,,,,,
GRMZM2G360219,-0.248993277,1.47347239,0.658062587,0.854817501,,,,,,,,,,,,,,,,,,,
GRMZM2G044834,-0.310059975,0.883238598,0.658221639,0.854846908,,,,,,,,,,,,,,,,,,,
GRMZM2G069773,-0.076884241,8.303224216,0.658241324,0.854846908,,,,,,,,,,,,,,,,,,,
GRMZM2G158277,-0.111002739,3.687566696,0.658244587,0.854846908,,,,,,,,,,,,,,,,,,,
GRMZM2G359234,0.09278634,5.375303356,0.658262155,0.854846908,,,,,,,,,,,,,,,,,,,
GRMZM2G370026,-0.342868301,0.998216944,0.658275997,0.854846908,,,,,,,,,,,,,,,,,,,
GRMZM2G097848,-0.18631735,2.139101811,0.658388274,0.854943159,,,,,,,,,,,,,,,,,,,
AC195550.3_FG003,-0.236370462,0.919380539,0.658461396,0.854979813,,,,,,,,,,,,,,,,,,,
GRMZM2G172330,-0.114368438,3.361029582,0.65852685,0.854979813,,,,,,,,,,,,,,,,,,,
AC233850.1_FG003,0.285645147,1.414590149,0.658530981,0.854979813,,,,,,,,,,,,,,,,,,,
GRMZM2G149108,-0.109682956,3.500196979,0.6587087,0.855160993,,,,,,,,,,,,,,,,,,,
GRMZM2G064640,0.175478886,4.198774094,0.658863421,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G416388,-0.106462469,5.815387576,0.658952735,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G108690,0.393138232,1.022151936,0.658961483,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G060516,0.176380598,2.0800498,0.658999903,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G178990,0.161528919,2.292109377,0.659047439,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G010474,0.26371691,0.518393993,0.659049342,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G073495,-0.085405915,3.947774311,0.659077281,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G146354,0.136240737,3.440116139,0.659088289,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G009725,0.44017409,0.435430488,0.65909476,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G010052,0.168532531,2.085382964,0.65914903,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G136311,-0.10290872,3.850348357,0.659160712,0.85520272,,,,,,,,,,,,,,,,,,,
GRMZM2G336213,0.312033163,5.078154792,0.659255468,0.85527613,,,,,,,,,,,,,,,,,,,
GRMZM2G151406,0.383467774,0.109013084,0.659299447,0.855283661,,,,,,,,,,,,,,,,,,,
GRMZM2G019771,-0.247710972,1.652736596,0.659372122,0.855328415,,,,,,,,,,,,,,,,,,,
GRMZM2G114050,0.136712319,3.456883259,0.659510748,0.855381083,,,,,,,,,,,,,,,,,,,
GRMZM2G426591,0.08324043,5.567266643,0.659616036,0.855381083,,,,,,,,,,,,,,,,,,,
GRMZM2G143917,0.090312371,8.757532733,0.659656083,0.855381083,,,,,,,,,,,,,,,,,,,
GRMZM2G306374,0.094751609,4.909011026,0.659662519,0.855381083,,,,,,,,,,,,,,,,,,,
GRMZM2G070553,-0.248908747,1.945956236,0.659688399,0.855381083,,,,,,,,,,,,,,,,,,,
