,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G440208,2.752852168,5.32836239,3.47E-11,7.33E-09,,,,,,,,,,,,,,,,,,,
GRMZM2G069106,-1.144696113,5.829629232,4.10E-11,8.59E-09,,,,,,,,,,,,,,,,,,,
GRMZM2G094353,-2.424614606,5.342781976,4.80E-11,9.96E-09,,Zinc finger protein,,,,,,,,,,,,,,,,,
GRMZM2G010871,1.740605914,7.025747682,5.15E-11,1.05E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G013299,5.565668318,1.344585876,5.17E-11,1.05E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G053322,1.311435041,8.793512886,5.87E-11,1.19E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G090105,2.260459742,3.977983751,6.02E-11,1.20E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G125072,2.364189222,3.070741166,6.12E-11,1.21E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G158008,1.787054765,4.651599302,7.25E-11,1.42E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G144730,1.767147248,7.441454835,7.68E-11,1.50E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G469523,1.322024232,7.408985169,8.26E-11,1.60E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G048904,2.4374488,5.199923599,8.50E-11,1.63E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G066636,2.767655245,6.570967404,9.07E-11,1.72E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G152447,2.954303739,6.458342018,9.21E-11,1.73E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G473976,1.819888312,4.327349684,9.53E-11,1.78E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G475293,1.314176074,7.667033057,1.06E-10,1.96E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G033962,-1.594481722,6.627440374,1.07E-10,1.97E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G126812,2.176686312,5.535264095,1.23E-10,2.23E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G360234,1.901123741,5.333144508,1.57E-10,2.84E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G007256,1.950365745,3.696389263,1.70E-10,3.06E-08,,,,,,,,,,,,,,,,,,,
GRMZM5G822829,4.906647329,3.692890879,2.03E-10,3.61E-08,,anthocyanin regulatory Lc protein,,,ein in rice.,,,,,,,,,,,,,,
GRMZM2G047474,1.562696877,5.190445711,2.14E-10,3.75E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G046615,2.947438804,6.323316313,2.14E-10,3.75E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G162388,1.256335342,8.796440965,2.28E-10,3.96E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G025175,2.282038962,3.86474196,2.39E-10,4.12E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G456547,3.731491805,3.780804355,2.44E-10,4.16E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G059037,2.544474431,4.872679704,2.45E-10,4.16E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G443668,1.759730561,8.565719962,2.79E-10,4.69E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G346861,-1.735670629,6.28793125,3.54E-10,5.93E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G361855,4.496822551,3.34333963,3.73E-10,6.20E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G098520,1.136309365,11.29626072,4.28E-10,7.05E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G149698,1.587911687,5.173991287,4.71E-10,7.71E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G020066,6.019220624,2.796637144,4.85E-10,7.87E-08,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G154595,1.086781511,7.249826934,5.14E-10,8.28E-08,,,,,,,,,,,,,,,,,,,
